Plant,Category,Climate Conditions,Temperature Range (°C),Light Intensity (hours/day),Relative Humidity (%),Annual Precipitation (mm),Wind Conditions,Soil Moisture,Soil Nutrients,Atmospheric Gases,Altitude (m),Topography,Frost,Heat Stress,Cold Stress,Day Length (hours),Air Quality,Other
Apple (Malus domestica),Fruit Trees,Temperate,5-25,6-12,60-80,500-1500,Moderate,Moist,Well-balanced,Normal,0-1000,Flat,No,Occasional,Chilling-sensitive,12-16,Good,None
Asian pear,Fruit Trees,Temperate,5-25,6-12,60-80,500-1500,Moderate,Moist,Well-balanced,Normal,Null,Null,Null,Null,Null,Null,Null,Null
Loquat (Japanese medlar),Fruit Trees,Subtropical,10-30,8-12,70-90,800-2000,Moderate,Moist,Well-balanced,Normal,Null,Null,Null,Null,Null,Null,Null,Null
Common medlar,Fruit Trees,Temperate,5-25,6-12,60-80,500-1500,Moderate,Moist,Well-balanced,Normal,Null,Null,Null,Null,Null,Null,Null,Null
Pear,Fruit Trees,Temperate,5-25,6-12,60-80,500-1500,Moderate,Moist,Well-balanced,Normal,0-1500,Flat,No,Occasional,Chilling-sensitive,12-16,Good,None
Quince,Fruit Trees,Temperate,5-25,6-12,60-80,500-1500,Moderate,Moist,Well-balanced,Normal,Null,Null,Null,Null,Null,Null,Null,Null
Citron,Fruit Trees,Tropical,20-35,8-12,70-90,1000-3000,Strong,Moist,Well-balanced,Normal,Null,Null,Null,Null,Null,Null,Null,Null
Grapefruit,Fruit Trees,Tropical,20-35,8-12,70-90,1000-3000,Strong,Moist,Well-balanced,Normal,Null,Null,Null,Null,Null,Null,Null,Null
Lemon,Fruit Trees,Tropical,20-35,8-12,70-90,1000-3000,Strong,Moist,Well-balanced,Normal,Null,Null,Null,Null,Null,Null,Null,Null
Lime,Fruit Trees,Tropical,20-35,8-12,70-90,1000-3000,Strong,Moist,Well-balanced,Normal,Null,Null,Null,Null,Null,Null,Null,Null
Orange,Fruit Trees,Tropical,20-35,8-12,70-90,1000-3000,Strong,Moist,Well-balanced,Normal,0-500,Flat,No,Heat-tolerant,Chilling-sensitive,10-14,Good,None
Pomelo,Fruit Trees,Tropical,20-35,8-12,70-90,1000-3000,Strong,Moist,Well-balanced,Normal,Null,Null,Null,Null,Null,Null,Null,Null
Almond,Fruit Trees,Temperate,5-25,6-12,60-80,300-800,Moderate,Moist,Well-balanced,Normal,0-1000,Flat,No,Occasional,Cold-sensitive,12-16,Good,None
Cashew,Fruit Trees,Tropical,25-35,8-12,70-90,1000-2500,Strong,Moist,Well-balanced,Normal,Null,Null,Null,Null,Null,Null,Null,Null
Chestnut,Fruit Trees,Temperate,5-25,6-12,60-80,400-1000,Moderate,Moist,Well-balanced,Normal,Null,Null,Null,Null,Null,Null,Null,Null
Hazelnut,Fruit Trees,Temperate,5-25,6-12,60-80,500-1500,Moderate,Moist,Well-balanced,Normal,Null,Null,Null,Null,Null,Null,Null,Null
Macadamia,Fruit Trees,Tropical,20-35,8-12,70-90,1000-3000,Strong,Moist,Well-balanced,Normal,Null,Null,Null,Null,Null,Null,Null,Null
Pecan (Carya illinoinensis),Fruit Trees,Temperate,5-30,6-12,60-80,500-1500,Moderate,Moist,Well-balanced,Normal,Null,Null,Null,Null,Null,Null,Null,Null
